TimestampSw,TimestampHw,Raw,Filtered
1679349611130,268771606.000,17011.000,-29.000
1679349611150,268791625.000,17033.000,-22.000
1679349611177,268811645.000,17033.000,-14.000
1679349611193,268831665.000,17040.000,-6.000
1679349611210,268851684.000,17040.000,0.000
1679349611230,268871734.000,17056.000,6.000
1679349611256,268891754.000,17056.000,13.000
1679349611274,268911743.000,17067.000,19.000
1679349611295,268931762.000,17067.000,25.000
1679349611310,268951782.000,17083.000,31.000
1679349611336,268971801.000,17083.000,37.000
1679349611352,268991821.000,17093.000,41.000
1679349611370,269011840.000,17093.000,45.000
1679349611390,269031860.000,17102.000,49.000
1679349611416,269051879.000,17102.000,51.000
1679349611433,269071899.000,17122.000,55.000
1679349611450,269091918.000,17122.000,59.000
1679349611470,269111968.000,17127.000,61.000
1679349611496,269131988.000,17127.000,62.000
1679349611513,269152008.000,17135.000,63.000
1679349611530,269172027.000,17135.000,63.000
1679349611550,269192016.000,17164.000,66.000
1679349611575,269212036.000,17164.000,71.000
1679349611591,269232055.000,17153.000,71.000
1679349611610,269252075.000,17153.000,69.000
1679349611630,269272094.000,17084.000,56.000
1679349611656,269292114.000,17084.000,36.000
1679349611672,269312133.000,17018.000,12.000
1679349611690,269332153.000,17018.000,-14.000
1679349611710,269352172.000,16999.000,-36.000
1679349611735,269372192.000,16999.000,-54.000
1679349611751,269392211.000,16998.000,-66.000
1679349611770,269412231.000,16998.000,-73.000
1679349611790,269432250.000,16992.000,-78.000
1679349611816,269452270.000,16992.000,-80.000
1679349611832,269472290.000,16987.000,-81.000
1679349611850,269492309.000,16987.000,-81.000
1679349611870,269512329.000,16997.000,-78.000
1679349611895,269532379.000,16997.000,-72.000
1679349611911,269552398.000,17000.000,-66.000
1679349611930,269572387.000,17000.000,-60.000
1679349611958,269592407.000,16998.000,-55.000
1679349611974,269612426.000,16998.000,-50.000
1679349611990,269632446.000,16999.000,-46.000
1679349612010,269652465.000,16999.000,-41.000
1679349612039,269672485.000,17007.000,-36.000
1679349612053,269692504.000,17007.000,-30.000
1679349612070,269712524.000,17023.000,-24.000
1679349612090,269732543.000,17023.000,-16.000
1679349612118,269752563.000,17034.000,-8.000
1679349612134,269772583.000,17034.000,-1.000
1679349612150,269792602.000,17050.000,5.000
1679349612170,269812622.000,17050.000,12.000
1679349612197,269832641.000,17060.000,19.000
1679349612213,269852661.000,17060.000,25.000
1679349612230,269872680.000,17072.000,30.000
1679349612255,269892730.000,17072.000,35.000
1679349612278,269912750.000,17082.000,39.000
1679349612293,269932739.000,17082.000,42.000
1679349612310,269952758.000,17095.000,46.000
1679349612330,269972778.000,17095.000,49.000
1679349612356,269992797.000,17097.000,51.000
